fpts,fpts_ci,rank_overall,rank_pos,rush_att,rush_yd,rush_td,rec_rcpt,rec_tgt,rec_yd,rec_td,player,team,pos,source,source_url,fpts_halfppr_adjust
148.195,91.45-136.57,#119,#43,0.0,0.0,0.0,68.37,110.07,841.09,5.22,Brian Thomas Jr.,JAC,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
146.75,87.91-132.37,#123,#44,0.0,0.0,0.0,73.22,115.81,796.24,5.13,Jaxon Smith-Njigba,SEA,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
138.285,87.84-132.28,#124,#45,2.2,12.41,0.13,56.45,95.23,781.72,5.02,Christian Watson,GB,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
144.48000000000002,87.48-131.86,#126,#46,0.0,0.0,0.0,69.62,109.82,847.9,4.24,Ladd McConkey,LAC,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
143.715,87.04-131.32,#129,#47,0.0,0.0,0.0,69.07,106.95,838.86,4.34,Josh Palmer,LAC,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
138.835,83.81-127.49,#131,#48,0.0,0.0,0.0,66.37,101.36,733.08,5.46,Tyler Lockett,SEA,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
139.085,83.25-126.83,#132,#49,0.0,0.0,0.0,68.09,118.8,799.21,4.37,Courtland Sutton,DEN,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
130.515,82.59-126.05,#133,#50,6.86,38.97,0.34,52.39,84.51,671.19,5.2,Brandin Cooks,DAL,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
129.815,80.23-123.27,#137,#51,2.34,13.34,0.16,56.13,96.13,744.79,4.42,Jameson Williams,DET,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
128.355,79.4-122.26,#138,#52,4.77,26.97,0.17,55.05,88.24,692.63,4.61,Mike Williams,NYJ,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
129.275,77.88-120.46,#140,#53,0.0,0.0,0.0,60.21,102.47,754.52,4.0,Jerry Jeudy,CLE,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
123.715,76.72-119.08,#143,#54,0.0,0.0,0.0,51.63,84.0,723.18,4.37,Khalil Shakir,BUF,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
131.81,76.5-118.84,#144,#55,0.0,0.0,0.0,68.28,103.02,724.37,4.26,Adam Thielen,CAR,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
124.985,76.3-118.6,#145,#56,0.0,0.0,0.0,55.07,93.32,689.06,4.82,Keon Coleman,BUF,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
