time/iterations,params/rollout_buffer_kwargs,params/learning_rate,params/n_steps,params/sde_sample_freq,params/vf_coef,rollout/ep_rew_mean,params/clip_range_vf,params/gae_lambda,params/seed,params/rollout_buffer_class,params/batch_size,params/policy_kwargs,time/total_timesteps,params/gamma,params/normalize_advantage,mean_reward,params/policy,time/time_elapsed,params/_init_setup_model,time/fps,params/clip_range,params/stats_window_size,params/target_kl,params/n_epochs,params/device,params/ent_coef,params/max_grad_norm,rollout/ep_len_mean,params/verbose,params/use_sde,train/clip_range,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/entropy_loss,train/approx_kl,train/loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
65,,,,,,0.8354178299999998,,,,,,,133120,,,0.055734698,,9220,,14,,,,,,,,15.0,,,0.2,640,-0.01088602833042387,0.0003,0.163134765625,0.9820532519370317,-0.5705071141012013,0.020931866,-0.01837531477212906,0.00027818652695259515,,
,,,,,,,,,,,,,135000,,,0.05485856,,,,,,,,,,,,,,,0.2,650,-0.012580982189683709,0.0003,0.215478515625,0.9878399204462767,-0.5518604720011353,0.04062948,-0.021092437207698822,0.0002275196565051374,0.8265599302947522,15.0
66,,,,,,0.82607118,,,,,,,135168,,,0.05519554,,9365,,14,,,,,,,,15.05,,,,,,,,,,,,,,
67,,,,,,0.8300561500000001,,,,,,,137216,,,0.055479333,,9501,,14,,,,,,,,15.0,,,0.2,660,-0.00936582556605572,0.0003,0.1892578125,0.9774599187076092,-0.5872083940543235,0.023611952,-0.03249874711036682,0.0003383706803106179,,
68,,,,,,0.8316545999999999,,,,,,,139264,,,0.05507084,,9638,,14,,,,,,,,15.0,,,0.2,670,-0.00848293961462332,0.0003,0.194775390625,0.9838967826217413,-0.5520426164381206,0.022773556,-0.012041647918522358,0.00023629615359368472,,
,,,,,,,,,,,,,140000,,,,,,,,,,,,,,,,,,0.2,680,-0.006894162776006851,0.0003,0.1927734375,0.9871814427897334,-0.550729233585298,0.027012993,-0.02144976332783699,0.00017229444608801714,0.847804294526577,15.0
69,,,,,,0.83449855,,,,,,,141312,,,0.055319924,,9782,,14,,,,,,,,15.05,,,,,,,,,,,,,,
70,,,,,,0.8345728500000001,,,,,,,143360,,,0.05572001,,9920,,14,,,,,,,,15.0,,,0.2,690,-0.005141257116338238,0.0003,0.17001953125,0.9823367949575186,-0.5445827299728989,0.028066866,-0.025486033409833908,0.00027050214901009896,,
,,,,,,,,,,,,,145000,,,0.054977547,,,,,,,,,,,,,,,0.2,700,-0.008620269289531279,0.0003,0.177685546875,0.9901896053925157,-0.5355018272064627,0.02325651,-0.028090573847293854,0.0001562038543397648,0.8398755606263876,15.0
71,,,,,,0.83148229,,,,,,,145408,,,0.05545421,,10062,,14,,,,,,,,15.05,,,,,,,,,,,,,,
72,,,,,,0.8327034600000002,,,,,,,147456,,,0.055550415,,10195,,14,,,,,,,,15.0,,,0.2,710,-0.008241282460221554,0.0003,0.192529296875,0.9808579850941896,-0.5535756321623921,0.029770346,-0.041805364191532135,0.00035917831523875067,,
